v0,v1,v2,v3,v4,v5
4.4528,4.4356,4.3787,4.3645,4.3762,4.3977
4.4356,4.3787,4.3645,4.3762,4.3977,4.3669
4.3787,4.3645,4.3762,4.3977,4.3669,4.3568
4.3645,4.3762,4.3977,4.3669,4.3568,4.3722
4.3762,4.3977,4.3669,4.3568,4.3722,4.3531
4.3977,4.3669,4.3568,4.3722,4.3531,4.3423
4.3669,4.3568,4.3722,4.3531,4.3423,4.337
4.3568,4.3722,4.3531,4.3423,4.337,4.38
4.3722,4.3531,4.3423,4.337,4.38,4.3844
4.3531,4.3423,4.337,4.38,4.3844,4.3911
4.3423,4.337,4.38,4.3844,4.3911,4.3764
4.337,4.38,4.3844,4.3911,4.3764,4.3655
4.38,4.3844,4.3911,4.3764,4.3655,4.3696
4.3844,4.3911,4.3764,4.3655,4.3696,4.4003
4.3911,4.3764,4.3655,4.3696,4.4003,4.3976
4.3764,4.3655,4.3696,4.4003,4.3976,4.3875
4.3655,4.3696,4.4003,4.3976,4.3875,4.38
4.3696,4.4003,4.3976,4.3875,4.38,4.3763
4.4003,4.3976,4.3875,4.38,4.3763,4.3827
4.3976,4.3875,4.38,4.3763,4.3827,4.5069
4.3875,4.38,4.3763,4.3827,4.5069,4.5933
4.38,4.3763,4.3827,4.5069,4.5933,4.5702
4.3763,4.3827,4.5069,4.5933,4.5702,4.6068
4.3827,4.5069,4.5933,4.5702,4.6068,4.5657
4.5069,4.5933,4.5702,4.6068,4.5657,4.6249
